timestamp,rssi
2025-06-12 10:23:36,-36.5
2025-06-12 10:24:20,-39.5
2025-06-12 10:24:22,-36.5
2025-06-12 10:42:48,-32.5
2025-06-12 10:42:50,-32.0
2025-06-12 12:00:29,-43.0
2025-06-12 12:00:31,-44.0
2025-06-12 12:00:33,-49.0
2025-06-12 12:22:52,-43.0
2025-06-12 12:22:53,-41.0
2025-06-12 12:22:57,-44.0
2025-06-12 12:23:06,-45.0
2025-06-12 12:23:37,-40.0
2025-06-12 12:23:41,-41.5
2025-06-12 12:23:42,-41.0
2025-06-12 12:23:45,-40.5
2025-06-12 12:25:14,-39.5
2025-06-12 12:25:18,-37.5
2025-06-12 12:34:50,-38.5
2025-06-12 12:34:54,-38.5
2025-06-12 12:34:55,-36.5
2025-06-12 12:34:58,-38.0
2025-06-12 12:39:10,-29.5
2025-06-12 12:39:13,-29.5
2025-06-12 12:39:14,-36.0
2025-06-12 12:42:25,-36.0
2025-06-12 12:42:32,-38.0
2025-06-12 12:46:02,-60.5
2025-06-12 12:46:06,-63.5
2025-06-12 12:46:08,-61.0
2025-06-12 14:54:06,-48.5
2025-06-12 14:54:12,-54.5
2025-06-12 14:54:16,-64.0
2025-06-12 14:54:20,-63.5
2025-06-12 14:54:57,-51.5
RYANS EDIT, 0
